id;date;details;status;payment_method;payment_date;payment_amount
1;2020-07-09T19:46:15;RAM Focused;PAID;CASH_ON_DELIVERY;2020-07-10T04:08:22;64379
2;2020-07-09T16:36:21;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-07-09T21:46:39;17323
3;2020-07-09T21:03:46;Incredible Baby;CANCELLED;PAYPAL;2020-07-10T00:35:27;11017
4;2020-07-09T18:33:41;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-07-09T18:37:49;51438
5;2020-07-09T13:13:49;function;PAID;PAYPAL;2020-07-10T05:47:54;32278
6;2020-07-09T14:13:37;action-items;CANCELLED;CASH_ON_DELIVERY;2020-07-10T04:00:49;5232
7;2020-07-10T07:00:20;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-07-10T00:37:42;62169
8;2020-07-09T16:55:24;Toys;ISSUED;PAYPAL;2020-07-10T03:33:21;10756
9;2020-07-09T18:25:49;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-07-10T08:09:22;58055
10;2020-07-09T17:03:34;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-07-10T05:29:45;94075
