id;placed_date;status;code
1;2020-07-10T03:08:15;COMPLETED;Georgia calculate withdrawal
2;2020-07-09T14:04:45;COMPLETED;compress Steel out-of-the-box
3;2020-07-09T15:35:57;PENDING;Concrete
4;2020-07-10T05:01:52;CANCELLED;Investment Account
5;2020-07-09T16:18:42;PENDING;United States of America
6;2020-07-10T06:30:46;CANCELLED;IB Industrial Credit Card Account
7;2020-07-10T09:37:11;CANCELLED;Cotton Egyptian Pound
8;2020-07-09T18:33:15;COMPLETED;Home Loan Account
9;2020-07-10T03:27:31;COMPLETED;Human
10;2020-07-09T13:36:09;CANCELLED;payment
